campaign_id,campaign_name,product_id,channel_id,objective,start_date,end_date,budget
28,Upsell - Drive Transparent Info-Mediaries,8,6,Upsell ,13/04/2025,13/05/2025,32638.43
29,Upsell - Target Synergistic Architectures,7,1,Upsell ,06/04/2025,05/06/2025,31771.71
30,Retention - Productize Scalable Schemas,10,6,Retention ,12/11/2024,03/12/2024,54605.61
31,Acquisition - Seize Leading-Edge Methodologies,6,4,Acquisition ,16/01/2025,30/01/2025,67343.85
32,Acquisition - Cultivate Extensible Action-Items,9,3,Acquisition ,09/09/2024,08/11/2024,125487.63
33,Acquisition - E-Enable B2C Convergence,5,3,Acquisition ,24/01/2026,25/03/2026,22384.21
34,Acquisition - Implement Frictionless Mindshare,8,3,Acquisition ,10/06/2025,01/07/2025,111564.25
35,Reactivation - Implement B2B Deliverables,10,6,Reactivation ,15/05/2025,05/06/2025,82060.96
36,Reactivation - Facilitate Sticky Portals,10,5,Reactivation ,15/03/2025,14/05/2025,46752.07
37,Brand Awareness - Innovate B2C Vortals,10,5,Brand Awareness ,31/12/2024,30/01/2025,76458.84
38,Brand Awareness - Orchestrate Value-Added Action-Items,5,2,Brand Awareness ,08/11/2025,22/11/2025,48491.6
39,Brand Awareness - Re-Contextualize Transparent Supply-Chains,7,6,Brand Awareness ,24/11/2024,24/12/2024,91431.88
40,Upsell - Embrace 24/7 Networks,6,5,Upsell ,20/02/2026,13/03/2026,67907.37
41,Acquisition - Mesh Robust Convergence,9,3,Acquisition ,22/01/2026,21/02/2026,28838.8
42,Upsell - Iterate Best-Of-Breed Metrics,3,2,Upsell ,24/11/2024,23/01/2025,21904.55
43,Upsell - Matrix Revolutionary Supply-Chains,5,2,Upsell ,08/01/2026,29/01/2026,84270.87
44,Brand Awareness - Brand Holistic E-Services,9,1,Brand Awareness ,30/11/2024,14/01/2025,135849.89
45,Acquisition - Drive Magnetic Markets,9,4,Acquisition ,01/04/2026,31/05/2026,54873.86
46,Acquisition - Productize Distributed Web-Readiness,8,4,Acquisition ,23/12/2024,06/02/2025,111285.02
47,Upsell - Brand Collaborative Bandwidth,4,3,Upsell ,28/09/2024,12/11/2024,100505.9
48,Brand Awareness - Benchmark B2B Partnerships,10,2,Brand Awareness ,23/01/2026,13/02/2026,140075.46
49,Retention - Visualize 24/7 Web-Readiness,4,5,Retention ,28/08/2025,27/10/2025,124042.25
50,Acquisition - Iterate Holistic Platforms,5,1,Acquisition ,04/03/2025,03/05/2025,87157.76
51,Acquisition - Integrate Synergistic Models,3,6,Acquisition ,26/08/2025,10/10/2025,100269.42
52,Reactivation - Redefine Extensible Convergence,6,1,Reactivation ,07/02/2025,08/04/2025,135266.04
53,Reactivation - Empower Proactive E-Commerce,10,3,Reactivation ,04/05/2026,25/05/2026,62930.22
54,Reactivation - Embrace Extensible Action-Items,5,1,Reactivation ,04/09/2025,25/09/2025,52385.23
55,Brand Awareness - Exploit User-Centric Info-Mediaries,7,3,Brand Awareness ,09/07/2025,23/08/2025,6567.61
56,Upsell - Visualize Extensible Action-Items,1,5,Upsell ,09/12/2024,23/12/2024,124849.91
57,Acquisition - Scale Turn-Key Relationships,3,2,Acquisition ,06/10/2024,20/11/2024,121142.2
58,Brand Awareness - Brand Turn-Key Metrics,6,1,Brand Awareness ,02/05/2025,01/06/2025,20145.91
59,Retention - Re-Intermediate Granular Networks,7,5,Retention ,19/04/2026,10/05/2026,88644.32
60,Brand Awareness - Extend Transparent E-Services,5,5,Brand Awareness ,07/04/2025,28/04/2025,72277.35
